year,state_alpha,state_name,county_name,Value,unit_desc,short_desc,Crop,HighYield,StateAvgYield,RelYield,PrevYearYield,YoYChange
2018,AL,ALABAMA,BALDWIN,152.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,147.1970588235294,1.0326293284312746,162.0,-10.0
2019,AL,ALABAMA,BALDWIN,150.7,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,135.78857142857143,1.1098135757269705,152.0,-1.3000000000000114
2020,AL,ALABAMA,BALDWIN,146.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,143.98333333333335,1.020256974186827,150.7,-3.799999999999983
2021,AL,ALABAMA,BALDWIN,154.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,157.1,0.9815404201145767,146.9,7.299999999999983
2022,AL,ALABAMA,BALDWIN,139.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,121.89696969696969,1.1403072639586338,154.2,-15.199999999999989
2023,AL,ALABAMA,BALDWIN,185.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,156.6236842105263,1.182452072517096,139.0,46.19999999999999
2024,AL,ALABAMA,BALDWIN,174.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,109.26666666666667,1.5924344112263575,185.2,-11.199999999999989
2010,AL,ALABAMA,BARBOUR,79.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,99.3780487804878,0.7989691986746841,147.2801300518561,-67.8801300518561
2011,AL,ALABAMA,BARBOUR,119.6,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,96.81162790697674,1.2353887914674866,79.4,40.19999999999999
2013,AL,ALABAMA,BARBOUR,153.8,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,128.102,1.2006057672791994,119.6,34.20000000000002
2014,AL,ALABAMA,BARBOUR,166.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,140.5595238095238,1.1831286524942832,153.8,12.5
2015,AL,ALABAMA,BARBOUR,181.6,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,137.04848484848486,1.3250784946712066,166.3,15.299999999999983
2016,AL,ALABAMA,BARBOUR,188.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,119.36341463414634,1.5825619648950735,181.6,7.300000000000011
2017,AL,ALABAMA,BARBOUR,192.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,153.13658536585368,1.2557417258624533,188.9,3.4000000000000057
2019,AL,ALABAMA,BARBOUR,184.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,135.78857142857143,1.357993519336784,192.3,-7.900000000000006
2020,AL,ALABAMA,BARBOUR,151.7,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,143.98333333333335,1.053594165991434,184.4,-32.70000000000002
2021,AL,ALABAMA,BARBOUR,189.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,157.1,1.204328453214513,151.7,37.5
2022,AL,ALABAMA,BARBOUR,159.8,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,121.89696969696969,1.310943171083379,189.2,-29.399999999999977
2023,AL,ALABAMA,BARBOUR,186.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,156.6236842105263,1.1933061142194668,159.8,27.099999999999994
2011,AL,ALABAMA,BLOUNT,109.5,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,96.81162790697674,1.1310624804823561,147.2801300518561,-37.780130051856105
2012,AL,ALABAMA,BLOUNT,70.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,105.47954545454546,0.6636357760013789,109.5,-39.5
2013,AL,ALABAMA,BLOUNT,137.1,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,128.102,1.070240901781393,70.0,67.1
2014,AL,ALABAMA,BLOUNT,144.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,140.5595238095238,1.0244770051664267,137.1,6.900000000000006
2015,AL,ALABAMA,BLOUNT,128.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,137.04848484848486,0.9368947065847079,144.0,-15.599999999999994
2020,AL,ALABAMA,BLOUNT,135.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,143.98333333333335,0.9403866188216228,128.4,7.0
2021,AL,ALABAMA,BLOUNT,152.6,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,157.1,0.9713558243157224,135.4,17.19999999999999
2022,AL,ALABAMA,BLOUNT,100.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,121.89696969696969,0.8236463978521356,152.6,-52.19999999999999
2023,AL,ALABAMA,BLOUNT,146.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,156.6236842105263,0.9379168976930962,100.4,46.5
2012,AL,ALABAMA,BULLOCK,142.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,105.47954545454546,1.3462325741742258,147.2801300518561,-5.280130051856105
2013,AL,ALABAMA,BULLOCK,128.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,128.102,0.9992037595041451,142.0,-14.0
2017,AL,ALABAMA,BULLOCK,135.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,153.13658536585368,0.88156595419361,128.0,7.0
2010,AL,ALABAMA,BUTLER,61.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,99.3780487804878,0.6158301632102099,147.2801300518561,-86.0801300518561
2012,AL,ALABAMA,BUTLER,122.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,105.47954545454546,1.158518454676693,61.2,61.0
2014,AL,ALABAMA,BUTLER,102.8,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,140.5595238095238,0.7313627509104769,122.2,-19.400000000000006
2020,AL,ALABAMA,BUTLER,108.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,143.98333333333335,0.7521703900914457,102.8,5.5
2024,AL,ALABAMA,BUTLER,83.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,109.26666666666667,0.7623550945698596,108.3,-25.0
2010,AL,ALABAMA,CALHOUN,118.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,99.3780487804878,1.190403730519082,147.2801300518561,-28.980130051856108
2011,AL,ALABAMA,CALHOUN,119.6,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,96.81162790697674,1.2353887914674866,118.3,1.2999999999999972
2012,AL,ALABAMA,CALHOUN,98.7,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,105.47954545454546,0.9357264441619444,119.6,-20.89999999999999
2013,AL,ALABAMA,CALHOUN,117.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,128.102,0.9164571981702081,98.7,18.700000000000003
2014,AL,ALABAMA,CALHOUN,136.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,140.5595238095238,0.9689845007199119,117.4,18.799999999999983
2018,AL,ALABAMA,CALHOUN,156.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,147.1970588235294,1.0611625072431914,136.2,20.0
2019,AL,ALABAMA,CALHOUN,135.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,135.78857142857143,1.0008206034591591,156.2,-20.299999999999983
2020,AL,ALABAMA,CALHOUN,151.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,143.98333333333335,1.0515105915036462,135.9,15.5
2021,AL,ALABAMA,CALHOUN,160.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,157.1,1.01973265436028,151.4,8.799999999999983
2022,AL,ALABAMA,CALHOUN,142.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,121.89696969696969,1.1681996718540248,160.2,-17.799999999999983
2023,AL,ALABAMA,CALHOUN,180.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,156.6236842105263,1.1511668934926158,142.4,37.900000000000006
2024,AL,ALABAMA,CALHOUN,129.7,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,109.26666666666667,1.1870042708968882,180.3,-50.60000000000002
2010,AL,ALABAMA,CHEROKEE,65.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,99.3780487804878,0.6560805006749295,147.2801300518561,-82.0801300518561
2011,AL,ALABAMA,CHEROKEE,114.5,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,96.81162790697674,1.1827091690888565,65.2,49.3
2012,AL,ALABAMA,CHEROKEE,80.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,105.47954545454546,0.7669733468358795,114.5,-33.599999999999994
2013,AL,ALABAMA,CHEROKEE,121.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,128.102,0.9515854553402757,80.9,41.0
2014,AL,ALABAMA,CHEROKEE,113.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,140.5595238095238,0.8053527568391633,121.9,-8.700000000000003
2015,AL,ALABAMA,CHEROKEE,98.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,137.04848484848486,0.7150753991067085,113.2,-15.200000000000003
2016,AL,ALABAMA,CHEROKEE,92.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,119.36341463414634,0.7732687631541306,98.0,-5.700000000000003
2017,AL,ALABAMA,CHEROKEE,146.8,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,153.13658536585368,0.9586213487083107,92.3,54.500000000000014
2019,AL,ALABAMA,CHEROKEE,129.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,135.78857142857143,0.9500063123343012,146.8,-17.80000000000001
2020,AL,ALABAMA,CHEROKEE,122.6,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,143.98333333333335,0.851487440676004,129.0,-6.400000000000006
2021,AL,ALABAMA,CHEROKEE,173.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,157.1,1.1069382558879695,122.6,51.30000000000001
2022,AL,ALABAMA,CHEROKEE,138.5,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,121.89696969696969,1.136205439268135,173.9,-35.400000000000006
2023,AL,ALABAMA,CHEROKEE,153.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,156.6236842105263,0.9781406992959994,138.5,14.699999999999989
2024,AL,ALABAMA,CHEROKEE,85.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,109.26666666666667,0.7815741305674192,153.2,-67.79999999999998
2013,AL,ALABAMA,CHILTON,71.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,128.102,0.5565877191612933,147.2801300518561,-75.98013005185611
2020,AL,ALABAMA,CHILTON,120.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,143.98333333333335,0.8334297951151752,71.3,48.7
2021,AL,ALABAMA,CHILTON,151.8,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,157.1,0.9662635264162954,120.0,31.80000000000001
2022,AL,ALABAMA,CHILTON,92.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,121.89696969696969,0.7580172028041566,151.8,-59.400000000000006
2023,AL,ALABAMA,CHILTON,165.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,156.6236842105263,1.0534805181712787,92.4,72.6
2024,AL,ALABAMA,CHILTON,88.5,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,109.26666666666667,0.8099450884685784,165.0,-76.5
2011,AL,ALABAMA,CLEBURNE,95.6,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,96.81162790697674,0.9874846861562853,147.2801300518561,-51.68013005185611
2016,AL,ALABAMA,CLEBURNE,125.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,119.36341463414634,1.0472220519422137,95.6,29.400000000000006
2017,AL,ALABAMA,CLEBURNE,111.1,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,153.13658536585368,0.7254961297104449,125.0,-13.900000000000006
2010,AL,ALABAMA,COFFEE,82.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,99.3780487804878,0.8271444348999878,147.2801300518561,-65.0801300518561
2011,AL,ALABAMA,COFFEE,57.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,96.81162790697674,0.5887722501141032,82.2,-25.200000000000003
2012,AL,ALABAMA,COFFEE,77.5,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,105.47954545454546,0.7347396091443839,57.0,20.5
2013,AL,ALABAMA,COFFEE,106.6,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,128.102,0.8321493809620458,77.5,29.099999999999994
2016,AL,ALABAMA,COFFEE,104.5,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,119.36341463414634,0.8754776354236907,106.6,-2.0999999999999943
2017,AL,ALABAMA,COFFEE,120.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,153.13658536585368,0.7849202051412735,104.5,15.700000000000003
2022,AL,ALABAMA,COFFEE,125.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,121.89696969696969,1.0287376323770696,120.2,5.200000000000003
2023,AL,ALABAMA,COFFEE,111.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,156.6236842105263,0.7087050758606785,125.4,-14.400000000000006
2024,AL,ALABAMA,COFFEE,80.1,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,109.26666666666667,0.7330689444783404,111.0,-30.900000000000006
2010,AL,ALABAMA,COLBERT,142.8,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,99.3780487804878,1.43693704749049,147.2801300518561,-4.480130051856094
2011,AL,ALABAMA,COLBERT,131.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,96.81162790697674,1.3562420428066975,142.8,-11.5
2012,AL,ALABAMA,COLBERT,102.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,105.47954545454546,0.9708043351791601,131.3,-28.900000000000006
2013,AL,ALABAMA,COLBERT,182.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,128.102,1.4223041014191815,102.4,79.79999999999998
2014,AL,ALABAMA,COLBERT,191.5,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,140.5595238095238,1.3624121283984079,182.2,9.300000000000011
2015,AL,ALABAMA,COLBERT,159.1,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,137.04848484848486,1.1609030203865032,191.5,-32.400000000000006
2016,AL,ALABAMA,COLBERT,126.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,119.36341463414634,1.057275383640859,159.1,-32.89999999999999
2017,AL,ALABAMA,COLBERT,195.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,153.13658536585368,1.2753320804000892,126.2,69.10000000000001
2018,AL,ALABAMA,COLBERT,153.6,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,147.1970588235294,1.0434991108358143,195.3,-41.70000000000002
2019,AL,ALABAMA,COLBERT,161.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,135.78857142857143,1.1856667929133526,153.6,7.400000000000006
2020,AL,ALABAMA,COLBERT,175.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,143.98333333333335,1.2175020256974187,161.0,14.300000000000011
2021,AL,ALABAMA,COLBERT,174.7,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,157.1,1.1120305537873965,175.3,-0.6000000000000227
2022,AL,ALABAMA,COLBERT,94.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,121.89696969696969,0.7711430418137524,174.7,-80.69999999999999
2023,AL,ALABAMA,COLBERT,172.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,156.6236842105263,1.0981736310633936,94.0,78.0
2024,AL,ALABAMA,COLBERT,96.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,109.26666666666667,0.8785845027455765,172.0,-76.0
2010,AL,ALABAMA,CONECUH,56.7,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,99.3780487804878,0.5705485335624003,147.2801300518561,-90.5801300518561
2012,AL,ALABAMA,CONECUH,124.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,105.47954545454546,1.1755833746310143,56.7,67.3
2013,AL,ALABAMA,CONECUH,131.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,128.102,1.0249644814288614,124.0,7.300000000000011
2014,AL,ALABAMA,CONECUH,115.7,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,140.5595238095238,0.823138815956636,131.3,-15.600000000000009
2015,AL,ALABAMA,CONECUH,54.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,137.04848484848486,0.39621014460708437,115.7,-61.400000000000006
2016,AL,ALABAMA,CONECUH,116.7,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,119.36341463414634,0.9776865076932508,54.3,62.400000000000006
2017,AL,ALABAMA,CONECUH,120.7,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,153.13658536585368,0.7881852642308794,116.7,4.0
2018,AL,ALABAMA,CONECUH,150.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,147.1970588235294,1.0190421004256,120.7,29.299999999999997
2019,AL,ALABAMA,CONECUH,109.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,135.78857142857143,0.8056642679796322,150.0,-40.599999999999994
2020,AL,ALABAMA,CONECUH,110.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,143.98333333333335,0.7639773121889106,109.4,0.5999999999999943
2010,AL,ALABAMA,COVINGTON,121.5,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,99.3780487804878,1.2226040004908578,147.2801300518561,-25.780130051856105
2013,AL,ALABAMA,COVINGTON,120.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,128.102,0.9390954083464739,121.5,-1.2000000000000028
2016,AL,ALABAMA,COVINGTON,108.1,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,119.36341463414634,0.9056376305196264,120.3,-12.200000000000003
2017,AL,ALABAMA,COVINGTON,141.7,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,153.13658536585368,0.9253177459943298,108.1,33.599999999999994
2019,AL,ALABAMA,COVINGTON,96.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,135.78857142857143,0.709190758742583,141.7,-45.39999999999999
2020,AL,ALABAMA,COVINGTON,113.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,143.98333333333335,0.7875911563838407,96.3,17.10000000000001
2021,AL,ALABAMA,COVINGTON,108.5,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,157.1,0.6906429026098027,113.4,-4.900000000000006
2023,AL,ALABAMA,COVINGTON,140.1,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,156.6236842105263,0.8945007308836131,108.5,31.599999999999994
2024,AL,ALABAMA,COVINGTON,87.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,109.26666666666667,0.7998779743746187,140.1,-52.69999999999999
2010,AL,ALABAMA,CRENSHAW,69.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,99.3780487804878,0.6983433550128851,147.2801300518561,-77.8801300518561
2011,AL,ALABAMA,CRENSHAW,84.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,96.81162790697674,0.8717961036777248,69.4,15.0
2014,AL,ALABAMA,CRENSHAW,75.8,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,140.5595238095238,0.5392733124417719,84.4,-8.600000000000009
2017,AL,ALABAMA,CRENSHAW,145.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,153.13658536585368,0.9468671359857292,75.8,69.2
2018,AL,ALABAMA,CRENSHAW,112.8,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,147.1970588235294,0.7663196595200512,145.0,-32.2
2024,AL,ALABAMA,CRENSHAW,64.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,109.26666666666667,0.5875533862111043,112.8,-48.599999999999994
2010,AL,ALABAMA,CULLMAN,90.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,99.3780487804878,0.914688918885753,147.2801300518561,-56.3801300518561
2011,AL,ALABAMA,CULLMAN,129.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,96.81162790697674,1.3366163011362273,90.9,38.5
2012,AL,ALABAMA,CULLMAN,94.6,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,105.47954545454546,0.896856348710435,129.4,-34.80000000000001
2013,AL,ALABAMA,CULLMAN,130.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,128.102,1.0163775741206225,94.6,35.599999999999994
2014,AL,ALABAMA,CULLMAN,163.5,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,140.5595238095238,1.1632082662827137,130.2,33.30000000000001
2015,AL,ALABAMA,CULLMAN,161.4,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,137.04848484848486,1.177685402202273,163.5,-2.0999999999999943
2016,AL,ALABAMA,CULLMAN,117.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,119.36341463414634,0.9818753959010197,161.4,-44.2
2017,AL,ALABAMA,CULLMAN,175.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,153.13658536585368,1.1486477877233778,117.2,58.7
